"","Code_ADN","Code","Nind","X50.floraison","Nbtalles","Epiaison","Longbrin","Diambrin","LongEpi","DiamEpi","PEpi","P1000","Pgrains","Tutiles","Tsteriles","essai","repetition","ID"
"762","So-21-1061629-03","Pod_82",7,51,11.2857142857143,51.1428571428571,232.142857142857,1.47857142857143,51.3571428571429,2.31142857142857,62.575,8.76,35.5575,6.28571428571429,5,"B","6",762
"763","So-21-28371-02","Pod_84",7,55,12.1428571428571,53.4285714285714,223.714285714286,1.38571428571429,50.7142857142857,2.325,38.7675,7.67333333333333,15.0566666666667,6.71428571428571,4.85714285714286,"B","6",763
"764","So-21-28371-03","Pod_85",7,56,11.8571428571429,55.6666666666667,254.857142857143,1.86,63.2857142857143,2.79571428571429,77.016,9.984,47.026,3.28571428571429,8.57142857142857,"B","6",764
"765","So-21-30507-02","Pod_103",6,48,14.1666666666667,48.6666666666667,229,1.52833333333333,55.0833333333333,2.06,59.6766666666667,9.108,31.145,6.83333333333333,7.83333333333333,"B","6",765
"766","So-6-3189-01","Pod_111",8,53.5,12.125,54.5,243.125,1.6425,62.375,2.475,73.24125,7.62375,38.45375,4.375,7.5,"B","6",766
"767","So-6-3189-02","Pod_112",6,56,11,55.4,260.666666666667,1.75666666666667,72,2.685,83.31,7.722,21.8766666666667,3.83333333333333,6.83333333333333,"B","6",767
"768","So-6-3189-03","Pod_113",8,56.5,7.25,57,254.5,1.78625,75.4375,2.81375,87.19875,8.6775,49.15,3.375,4.125,"B","6",768
"769","So-6-4253-02","Pod_117",7,55,10.5714285714286,54.8571428571429,262.142857142857,1.91,77.9285714285714,2.77142857142857,72.4928571428571,8.115,43.8166666666667,4,6.28571428571429,"B","6",769
"770","So-8-11559-03","Pod_124",8,47.5,9.5,48.25,243.875,1.64,52.125,2.28625,55.7533333333333,8.04333333333333,33.8866666666667,5.375,3.875,"B","6",770
"771","So-8-6858-03","Pod_134",7,55,10.1428571428571,54.7142857142857,250.428571428571,1.70428571428571,59.7142857142857,2.87285714285714,64.868,9.064,30.344,3.71428571428571,6.28571428571429,"B","6",771
"772","So-8-7024-02","Pod_136",7,50,8,49.8571428571429,242.714285714286,1.66833333333333,57.1428571428571,2.35714285714286,61.6933333333333,9.07333333333333,30.8766666666667,4.42857142857143,3.14285714285714,"B","6",772
"773","So-8-7024-03","Pod_137",8,49,11.875,49,222.75,1.60375,52.25,2.47625,61.91375,8.21625,30.40625,4.375,7,"B","6",773
"774","So-6-51263-01","Pod_120",-2,63.3150247713415,10.9419274422803,63.3374490769059,264.225758195332,1.76184756657998,58.6058595468008,2.65428394733942,68.5770290517503,7.98129287704506,37.5568165084798,4.6213516613772,6.15938096999471,"B","6",774
"775","Sa-21-30147-04","Ma_10",5,85,12.4,84.6,253.6,1.86,49.8,2.32,53.884,4.32,28.234,7,6,"C","7",775
"776","Sa-21-30218-01","Ma_11",6,62.5,13.5,68.1666666666667,277.333333333333,1.71666666666667,57.8333333333333,2.36666666666667,59.6816666666667,6.25166666666667,37.735,5.33333333333333,8.16666666666667,"C","7",776
"777","Sa-21-30218-02","Ma_12",6,86,14.8333333333333,88.1666666666667,240,1.66666666666667,65.5,2.23333333333333,69.1433333333333,6.29666666666667,44.0716666666667,6,9,"C","7",777
