Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
So-21-30218-02	Pod_100	-2	54	9.901348039	53.71428571	263.7142857	2.041428571	59.28571429	3.052857143	71.64714286	8.751428571	44.76714286	4.428571429	5.351365546
So-21-30218-03	Pod_101	6	56	10.16666667	56.66666667	237.5	1.89	62.66666667	2.961666667	93.62	8.473333333	53.34333333	3.166666667	7
So-21-30507-01	Pod_102	7	53	9.285714286	51.28571429	259.4285714	1.718571429	57	2.638571429	62.13857143	9.437142857	41.86833333	4	5.285714286
So-21-30522-01	Pod_105	8	54.5	10.5	53.375	228.8125	1.6725	61.5	2.465	75.65666667	7.498333333	34.43166667	4	6
So-21-30522-02	Pod_106	7	50	11.28571429	50.71428571	256.5714286	1.837142857	70.42857143	2.511428571	65.3475	8.463333333	34.536	4.428571429	6.428571429
So-21-30522-03	Pod_107	6	55	10.83333333	54	263.1428571	1.87	70.5	2.962857143	92.52142857	7.482857143	54.36285714	4.857142857	5.666666667
So-21-30529-01	Pod_108	7	54.5	7.714285714	53.625	237.75	1.6675	53.625	2.56375	75.77	6.7	37.98625	3.875	3.714285714
So-21-30529-02	Pod_109	7	46	12.57142857	46.57142857	246.1	1.642857143	51.05714286	2.592857143	45.375	7.641666667	25.98833333	6.428571429	6.142857143
So-21-30529-03	Pod_110	7	53	8	52.57142857	248.4285714	1.83	58.14285714	2.627142857	78.042	7.971666667	38.276	4.142857143	3.714285714
So-6-3385-01	Pod_114	7	57	8.142857143	57.71428571	238.4285714	1.77	58.71428571	2.834285714	67.34166667	9.686666667	34.306	2.714285714	5.142857143
So-6-3385-02	Pod_115	7	55	10	54.85714286	267.7142857	1.957142857	73.71428571	2.942857143	106.054	8.453333333	44.23	3.428571429	6.285714286
So-6-4253-01	Pod_116	8	52.5	9.25	52.5	265.25	1.9825	93.5	3.04625	79.21125	8.445	41.25	4.125	5.125
So-6-4452-01	Pod_118	8	51.5	9.75	51.25	236.875	1.73125	58.625	2.59625	69.80285714	8.658571429	41.64857143	4.375	5.5
So-6-4452-02	Pod_119	8	54	10.125	53.5	251	1.8025	65.25	2.6625	92.945	8.433333333	60.46333333	5	4.625
So-6-51263-02	Pod_121	8	53	8.625	53.625	250.1428571	1.8625	75.64285714	2.571428571	81.32571429	8.372857143	41.11571429	3.625	5
So-8-11559-01	Pod_122	8	54	8.125	54.625	255.625	1.8025	60.5	2.45625	74.79125	6.58375	34.40833333	3.25	4.75
So-8-11559-02	Pod_123	8	51	11.625	49.875	234.525	1.9375	54.875	2.484285714	66.73571429	7.198571429	39.82428571	5.625	5.125
So-8-6685-01	Pod_129	7	55	9.857142857	56.14285714	228	1.711428571	58.14285714	3.038571429	84.12666667	9.324285714	43.63142857	3.142857143	6.714285714
So-8-6685-02	Pod_130	8	54	10.375	53	212.5	1.4725	51.25	2.7225	67.84	7.948571429	36.08142857	4.25	5.875
So-8-6685-03	Pod_131	7	53	7.428571429	52	228.3333333	1.9	53.83333333	2.946666667	77.52	7.838333333	51.87666667	3.428571429	3.857142857
So-8-6858-02	Pod_133	8	50	10.125	49	199.625	1.5525	46.4375	2.405	54.58428571	7.155714286	21.88	4.25	5.375
So-8-7024-01	Pod_135	7	47.5	9.857142857	48.375	239.25	1.62375	55	2.2675	91.19333333	8.806666667	57.37333333	6.875	3.714285714
So-8-7291-01	Pod_138	8	56	7	55.625	251.5	1.8825	68.375	3.11625	106.5657143	8.797142857	67.34	3.75	3.375
So-8-7539-01	Pod_140	8	50	11	51.75	252.875	1.72	64.625	2.37125	67.84875	8.365	30.82125	4.875	5.5
So-8-7539-02	Pod_141	8	51	10.375	51.375	235.25	1.6475	55.75	2.52375	82.13571429	8.844285714	49.75571429	4	6.375
So-8-7539-03	Pod_142	8	49	10.875	50.5	245.175	1.6525	53.125	2.27	62.22857143	7.488333333	39.13333333	5.25	5.375
So-8-7539-04	Pod_143	7	59	8.285714286	55.85714286	227.4	1.502	61	2.466	54.7075	7.9425	33.455	2.142857143	5.714285714
So-10-20006-01	Pod_48	7	52	8.428571429	53	251.8571429	1.865714286	73.42857143	2.775714286	89.72571429	8.067142857	44.69714286	3.285714286	5.285714286
So-10-20006-02	Pod_49	8	53.5	11.875	53.25	223.9	1.65125	55.6875	2.3375	60.08285714	7.737142857	31.84285714	4	7.25
So-10-20006-03	Pod_50	8	53	9	52.75	277.875	1.72375	82.6875	2.395	77.67	8.215572479	47.49166667	5.25	3.375
So-10-20110-02	Pod_52	7	51	11.57142857	51.42857143	231.8571429	1.521428571	52.57142857	2.321428571	67.50166667	8.686666667	38.72166667	5.571428571	5.428571429
So-10-20110-03	Pod_53	8	49	9.625	49.75	273.75	1.88	63.575	2.5325	68.96375	9.48625	42.24625	4.25	5.375
So-10-20117-02	Pod_55	8	54.5	12.5	55.125	232.8125	1.7725	57.75	2.77125	81.48857143	7.491428571	48.72833333	4.875	7.625
So-10-20117-03	Pod_56	7	50	8.714285714	50.5	244.6875	1.5525	57.625	2.49	64.46375	7.38125	32.23875	4.125	4.285714286
