Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
Sa-21-30147-04	Ma_10	8	85	8.625	85.5	257.25	1.72	53.125	2.7	55.66375	6.66875	33.90375	4.5	3.875
Sa-21-30218-01	Ma_11	7	78	7.57142857142857	80.8571428571429	300.285714285714	1.86571428571429	53.7142857142857	2.49	42.6075	7.22333333333333	18.985	4	3.57142857142857
Sa-21-30218-02	Ma_12	8	86	13	85.875	304.857142857143	1.76428571428571	56.8571428571429	2.52375	61.8033333333333	5.90666666666667	34.0533333333333	8	5.125
Sa-8-12129-01	Ma_125	6	86	13.6666666666667	86.1666666666667	318.5	1.942	59.8333333333333	2.98833333333333	83.3483333333333	6.915	49.0116666666667	5.33333333333333	8.33333333333333
Sa-8-12129-02	Ma_126	8	88	11.125	88.125	326.375	1.99125	67.6875	2.73125	58.3471428571429	6.35	33.2157142857143	5.5	5
Sa-8-12129-03	Ma_127	7	85	9.71428571428571	85	325.857142857143	1.99714285714286	65.7142857142857	2.81571428571429	89.7528571428571	7.60571428571429	39.3742857142857	4.85714285714286	4.42857142857143
Sa-8-12129-04	Ma_128	6	86	9.33333333333333	85.6666666666667	295.833333333333	2.04833333333333	60.1666666666667	2.83666666666667	84.686	6.702	39.444	4.66666666666667	4.66666666666667
Sa-21-30218-03	Ma_13	7	91	11.5714285714286	90	306	1.83285714285714	59.8571428571429	2.95857142857143	50.6085714285714	6.56714285714286	43.88	3.71428571428571	7.57142857142857
Sa-21-30507-01	Ma_14	8	86	11.875	86.5	305	1.7675	56.25	2.705	78.5333333333333	5.74	32.33	6	5.25
Sa-21-30507-02	Ma_15	7	85	11.1428571428571	84.7142857142857	273.285714285714	2.77142857142857	53.5714285714286	1.88714285714286	5.92857142857143	6.72571428571429	40.5171428571429	4.42857142857143	6.28571428571429
Sa-21-30515-01	Ma_17	7	86	15.7142857142857	85.4285714285714	339	1.82142857142857	59.5714285714286	2.83714285714286	64.1216666666667	5.698	24.9416666666667	6.71428571428571	9.57142857142857
Sa-21-30515-02	Ma_18	8	79	12.625	80.625	297.125	1.89125	55	2.57125	75.52	7.2475	37.5125	6.75	6
Sa-21-28423-02	Ma_2	8	81	8.875	80.25	314.571428571429	1.92333333333333	57.2857142857143	2.62571428571429	78.5171428571429	6.97285714285714	39.9085714285714	3	5.75
Sa-21-30529-02	Ma_20	7	85	7.57142857142857	84.1428571428571	292.285714285714	1.90714285714286	58.1428571428571	2.65285714285714	80.9928571428571	7.11571428571429	56.89	5	2.85714285714286
Sa-21-30529-03	Ma_21	8	85	12.125	85.5	284.625	1.91875	52.25	2.825	68.5942857142857	6.06428571428571	31.6785714285714	4.125	7.625
Sa-21-82410-01	Ma_22	8	83	14.375	83	344.0625	1.7675	60.375	2.54375	68.63875	7.09125	40.89625	7.25	7.25
Sa-21-82410-02	Ma_23	8	67	11.75	68.375	320.625	1.65625	64	2.495	60.88	5.89875	36.3875	7.125	4.625
Sa-21-82410-03	Ma_24	7	85	11	85.7142857142857	290.857142857143	1.79285714285714	50.8571428571429	2.98714285714286	75.9814285714286	8.73142857142857	41.6114285714286	5.57142857142857	5
