Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
Sa-21-30147-04	Ma_10	5	85	12.4	84.6	253.6	1.86	49.8	2.32	53.884	4.32	28.234	7	6
Sa-21-30218-01	Ma_11	6	62.5	13.5	68.1666666666667	277.333333333333	1.71666666666667	57.8333333333333	2.36666666666667	59.6816666666667	6.25166666666667	37.735	5.33333333333333	8.16666666666667
Sa-21-30218-02	Ma_12	6	86	14.8333333333333	88.1666666666667	240	1.66666666666667	65.5	2.23333333333333	69.1433333333333	6.29666666666667	44.0716666666667	6	9
Sa-8-12129-01	Ma_125	5	90	12.6	90.6	248	2	54	2.5	69.5	5.08	42.864	5	7.2
Sa-8-12129-02	Ma_126	5	92	11.8	91.6	298.8	1.98	59.8	2.74	72.554	5.564	50.538	5.4	6.2
Sa-8-12129-03	Ma_127	5	84	10.8	85.4	269.4	1.78	57.8	2.44	75.446	5.404	50.016	4.4	6.2
Sa-8-12129-04	Ma_128	6	87.5	12.5	87.8333333333333	276.5	2.28333333333333	59.5	2.53333333333333	85.42	6.665	56.2183333333333	5.16666666666667	7.16666666666667
Sa-21-30218-03	Ma_13	6	90	9.66666666666667	88.8333333333333	257.5	1.78333333333333	57.5	2.43333333333333	54.67	5.28166666666667	34.59	5.16666666666667	4.66666666666667
Sa-21-30507-01	Ma_14	6	89	13.3333333333333	87.8333333333333	272.833333333333	1.66666666666667	49.3333333333333	2.33333333333333	55.6866666666667	4.77333333333333	33.485	5.5	7.16666666666667
Sa-21-30507-02	Ma_15	6	83	10	84.3333333333333	207.333333333333	1.66666666666667	41.3333333333333	2.05	52.2466666666667	7.075	35.27	4.66666666666667	5.33333333333333
Sa-21-30515-01	Ma_17	5	89	12	88.8	284.2	1.74	55.4	2.1	62.924	5.256	41.688	5.2	6.4
Sa-21-30515-02	Ma_18	6	89.5	10.8333333333333	90.3333333333333	218	2.06666666666667	46.8333333333333	2.53333333333333	50.3883333333333	5.3	30.4733333333333	4.33333333333333	6.5
Sa-21-28423-02	Ma_2	6	84.5	11	84	282.166666666667	1.95	51.6666666666667	2.38	61.522	6.102	41.204	5.16666666666667	5.66666666666667
Sa-21-30529-02	Ma_20	6	84.5	13.3333333333333	84.3333333333333	303.833333333333	2.1	49.6666666666667	2.2	73.622	6.414	48.45	5.5	7.5
Sa-21-30529-03	Ma_21	6	84	16	83.8333333333333	254.833333333333	1.58333333333333	48.1666666666667	2.1	55.972	6.444	38.11	6.16666666666667	9.83333333333333
Sa-21-82410-01	Ma_22	6	86	12.6666666666667	81.6666666666667	236.166666666667	1.78333333333333	58.3333333333333	2.15	67.9383333333333	7.365	47.6033333333333	5.33333333333333	7.66666666666667
